Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Image Src,Image Alt Text,SEO Title,SEO Description,Status
tj-vd001-2-dozen-red-roses,"2 Dozen Red Roses in Glass Vase","<p>A stunning arrangement of 24 premium long-stem red roses, elegantly presented in a crystal-clear glass vase. Perfect for Valentine's Day, anniversaries, or any occasion that calls for classic romance. Hand-arranged by our expert florists at TJ Flowers & Events.</p>",TJ Flowers & Events,Flowers,Roses,"valentines-day, roses, romance, same-day-delivery, bestseller",TRUE,Size,Standard,TJ-VD001,275.00,https://www.tjflowersandevents.com/image/cache/catalog/Flowers/TJFlowers_526x660_VD001_1-526x660.jpg,"2 dozen red roses in glass vase - NYC florist delivery","2 Dozen Red Roses NYC Delivery | TJ Flowers & Events","Gorgeous arrangement of 24 premium red roses in a glass vase. Same-day delivery in Manhattan & NYC. Order from TJ Flowers, Upper East Side florist since 1988.",active
tj-vd002-1-dozen-red-roses,"1 Dozen Red Roses in Glass Vase","<p>A timeless arrangement of 12 beautiful long-stem red roses, carefully arranged in an elegant glass vase. A classic expression of love and appreciation, perfect for birthdays, anniversaries, and romantic gestures. Fresh from our Upper East Side flower shop.</p>",TJ Flowers & Events,Flowers,Roses,"valentines-day, roses, romance, same-day-delivery",TRUE,Size,Standard,TJ-VD002,150.00,https://www.tjflowersandevents.com/image/cache/catalog/Flowers/TJFlowers_526x660_VD002_1-526x660.jpg,"1 dozen red roses in glass vase - Manhattan flower delivery","1 Dozen Red Roses NYC | TJ Flowers & Events","Beautiful arrangement of 12 premium red roses in glass vase. Same-day flower delivery Manhattan. TJ Flowers & Events, NYC florist since 1988.",active
tj-vd005-red-roses-vanda-orchids,"Red Roses and Vanda Orchids","<p>A luxurious combination of vibrant red roses and exotic Vanda orchids, creating a striking and sophisticated arrangement. This premium design showcases our expertise in pairing classic blooms with tropical elegance. Perfect for making a lasting impression.</p>",TJ Flowers & Events,Flowers,Mixed Arrangements,"valentines-day, orchids, roses, luxury, premium",TRUE,Size,Standard,TJ-VD005,200.00,https://www.tjflowersandevents.com/image/cache/catalog/Flowers/Flowers/TJFlowers_526x660_VT005_Red-Roses-and-Vanda-Orchids-526x660.jpg,"Red roses and vanda orchids arrangement - luxury NYC florist","Red Roses & Vanda Orchids | TJ Flowers NYC","Stunning luxury arrangement combining red roses and exotic Vanda orchids. Same-day delivery in NYC. TJ Flowers & Events, premium florist since 1988.",active
tj-vd007-purple-roses-sweet-pea,"Purple Roses and Sweet Pea","<p>An enchanting arrangement featuring lush purple roses paired with delicate sweet pea blossoms. The soft, romantic color palette creates a dreamy, garden-inspired look that's perfect for birthdays, Mother's Day, or simply brightening someone's day.</p>",TJ Flowers & Events,Flowers,Mixed Arrangements,"valentines-day, roses, purple, spring",TRUE,Size,Standard,TJ-VD007,200.00,https://www.tjflowersandevents.com/image/cache/catalog/Flowers/Flowers/TJFlowers_526x660_VT007_Purple-Roses-and-sweet-pea-526x660.jpg,"Purple roses and sweet pea arrangement - NYC flower delivery","Purple Roses & Sweet Pea | TJ Flowers NYC","Beautiful purple roses and sweet pea arrangement. Fresh flowers delivered same-day in Manhattan & NYC. TJ Flowers & Events, since 1988.",active
tj-vd008-pink-sweet-heart,"Pink Sweet Heart","<p>A gorgeous arrangement of soft pink blooms, artfully designed in a heart-inspired style. This romantic and feminine arrangement captures the essence of sweetness and love. Ideal for Valentine's Day, anniversaries, or expressing heartfelt emotions.</p>",TJ Flowers & Events,Flowers,Mixed Arrangements,"valentines-day, pink, romance, heart",TRUE,Size,Standard,TJ-VD008,150.00,https://www.tjflowersandevents.com/image/cache/catalog/Flowers/Flowers/TJFlowers_526x660_VT008_Pink-Sweet-Heart-526x660.jpg,"Pink sweet heart flower arrangement - NYC florist","Pink Sweet Heart Arrangement | TJ Flowers NYC","Romantic pink flower arrangement in a sweet heart design. Same-day delivery NYC. TJ Flowers & Events, Upper East Side florist since 1988.",active
tj-vd009-hot-pink-orchid,"Hot Pink and Orchid","<p>A vibrant and eye-catching arrangement featuring bold hot pink flowers beautifully complemented by elegant orchids. This statement piece brings energy and sophistication to any space, perfect for celebrations, corporate gifts, or home decor.</p>",TJ Flowers & Events,Flowers,Mixed Arrangements,"valentines-day, orchids, pink, vibrant, premium",TRUE,Size,Standard,TJ-VD009,200.00,https://www.tjflowersandevents.com/image/cache/catalog/Flowers/Flowers/TJFlowers_526x660_VT009_Hot-Pink-and-Orchid-526x660.jpg,"Hot pink and orchid arrangement - luxury NYC flower delivery","Hot Pink & Orchid Arrangement | TJ Flowers NYC","Stunning hot pink and orchid arrangement. Premium flower delivery in Manhattan & NYC. TJ Flowers & Events, since 1988.",active
tj-romance-001,"Romance Arrangement","<p>A lavish romantic arrangement designed to sweep someone off their feet. This premium design features an abundance of red roses and seasonal accent flowers, expertly crafted by our master florists. A showstopping display of love and devotion.</p>",TJ Flowers & Events,Flowers,Premium Arrangements,"valentines-day, roses, romance, luxury, premium",TRUE,Size,Standard,TJ-ROM001,300.00,https://www.tjflowersandevents.com/image/cache/catalog/Flowers/valentines/01_valentine_300_2-526x660.jpg,"Luxury romance flower arrangement - NYC same-day delivery","Romance Arrangement | TJ Flowers NYC","Lavish romantic flower arrangement with premium red roses. Same-day luxury delivery in NYC. TJ Flowers & Events, since 1988.",active
tj-vd036-grand-valentine,"Grand Valentine's Day Arrangement","<p>Our most spectacular Valentine's Day creation. This extraordinary arrangement features an abundance of premium roses and exotic flowers, designed to make an unforgettable impression. The ultimate expression of love, hand-delivered across NYC.</p>",TJ Flowers & Events,Flowers,Premium Arrangements,"valentines-day, roses, luxury, premium, grand",TRUE,Size,Standard,TJ-VD036,800.00,https://www.tjflowersandevents.com/image/cache/catalog/Flowers/valentines/36_Valentines800w1-526x660.jpg,"Grand Valentine's Day flower arrangement - premium NYC florist","Grand Valentine's Arrangement $800 | TJ Flowers NYC","Our most spectacular Valentine's Day arrangement. Premium roses and exotic flowers. Luxury same-day delivery NYC. TJ Flowers, since 1988.",active
tj-rose-0407,"Classic Rose Arrangement","<p>A timeless arrangement of premium roses, beautifully designed in our signature style. Each rose is hand-selected for freshness and beauty, creating an elegant display perfect for any occasion. Available for same-day delivery across NYC.</p>",TJ Flowers & Events,Flowers,Roses,"roses, classic, same-day-delivery",TRUE,Size,Standard,TJ-R0407,300.00,https://www.tjflowersandevents.com/image/cache/catalog/Flowers/Rose/TJFlowers_526x660_113130Rose300-526x660.jpg,"Classic rose arrangement - Manhattan florist delivery","Classic Rose Arrangement | TJ Flowers NYC","Elegant classic rose arrangement. Same-day delivery Manhattan & NYC. TJ Flowers & Events, premium Upper East Side florist since 1988.",active
tj-rose-0408,"Grand Rose Display","<p>Our most impressive rose arrangement, featuring an extraordinary collection of premium long-stem roses in a stunning display. This showpiece is perfect for grand gestures, milestone celebrations, and luxury corporate gifts. Hand-arranged by our master florists.</p>",TJ Flowers & Events,Flowers,Roses,"roses, luxury, premium, grand, corporate",TRUE,Size,Standard,TJ-R0408,700.00,https://www.tjflowersandevents.com/image/cache/catalog/Flowers/Rose/TJFlowers_526x660_101717Rose700-526x660.jpg,"Grand rose display arrangement - luxury NYC florist","Grand Rose Display $700 | TJ Flowers NYC","Extraordinary premium rose display arrangement. Luxury same-day delivery NYC. TJ Flowers & Events, since 1988.",active
